"fue","MUE"
"fue 3","MUE 6"
"fue 6","MUE 12"
"fue 10","MUE 19"
"fue 12","MUE 26"
"fue 15","MUE 14"
"fue 21","MUE 11"
"fue 23","MUE 1"
"fue 27","MUE 23"
"fue 29","MUE 7"
"fue 30","MUE 29"
"fue 31","MUE 10"
"fue 36","MUE 27"
"fue 38","MUE 20"
"fue 39","MUE 9"
"fue 41","MUE 17"
"fue 44","MUE 4"
"fue 45","MUE 32"
"fue 46","MUE 21"
"fue 47","MUE 36"
"fue 48","MUE 5"
"fue 55","MUE 25"
"fue 56","MUE 8"
"fue 59","MUE 2"
"fue 60","MUE 35"
"fue 61","MUE 22"
"fue 62","MUE 33"
"fue 64","MUE 18"
"fue 65","MUE 28"
"fue 66","MUE 31"
"fue 67","MUE 30"
"fue 69","MUE 15"
"fue 70","MUE 34"
"fue 71","MUE 13"
"fue 72","MUE 16"
"fue 73","MUE 3"
"fue 78","MUE 24"
