"fue","MUE"
"fue 2","MUE 15"
"fue 3","MUE 2"
"fue 5","MUE 25"
"fue 6","MUE 22"
"fue 8","MUE 14"
"fue 9","MUE 11"
"fue 10","MUE 6"
"fue 11","MUE 13"
"fue 12","MUE 34"
"fue 13","MUE 7"
"fue 14","MUE 17"
"fue 15","MUE 26"
"fue 16","MUE 8"
"fue 17","MUE 28"
"fue 18","MUE 24"
"fue 27","MUE 21"
"fue 33","MUE 30"
"fue 37","MUE 29"
"fue 40","MUE 18"
"fue 41","MUE 4"
"fue 42","MUE 5"
"fue 43","MUE 31"
"fue 46","MUE 1"
"fue 49","MUE 16"
"fue 52","MUE 9"
"fue 53","MUE 36"
"fue 56","MUE 23"
"fue 58","MUE 12"
"fue 59","MUE 35"
"fue 62","MUE 10"
"fue 63","MUE 19"
"fue 64","MUE 3"
"fue 65","MUE 20"
"fue 66","MUE 27"
"fue 69","MUE 33"
"fue 71","MUE 32"
