"fue","MUE"
"fue 1","MUE 10"
"fue 2","MUE 33"
"fue 3","MUE 11"
"fue 4","MUE 20"
"fue 5","MUE 26"
"fue 6","MUE 2"
"fue 7","MUE 14"
"fue 8","MUE 24"
"fue 10","MUE 13"
"fue 14","MUE 32"
"fue 16","MUE 5"
"fue 17","MUE 3"
"fue 19","MUE 30"
"fue 20","MUE 35"
"fue 21","MUE 34"
"fue 23","MUE 25"
"fue 24","MUE 28"
"fue 25","MUE 23"
"fue 27","MUE 17"
"fue 28","MUE 21"
"fue 31","MUE 9"
"fue 32","MUE 18"
"fue 34","MUE 15"
"fue 35","MUE 22"
"fue 36","MUE 16"
"fue 37","MUE 31"
"fue 38","MUE 6"
"fue 44","MUE 27"
"fue 46","MUE 7"
"fue 47","MUE 4"
"fue 48","MUE 12"
"fue 49","MUE 29"
"fue 51","MUE 36"
"fue 52","MUE 1"
"fue 53","MUE 8"
"fue 54","MUE 19"
