"fue","MUE"
"fue 1","MUE 34"
"fue 6","MUE 10"
"fue 7","MUE 20"
"fue 9","MUE 16"
"fue 10","MUE 24"
"fue 11","MUE 9"
"fue 12","MUE 11"
"fue 14","MUE 15"
"fue 17","MUE 8"
"fue 20","MUE 18"
"fue 22","MUE 31"
"fue 23","MUE 28"
"fue 27","MUE 6"
"fue 30","MUE 36"
"fue 35","MUE 32"
"fue 41","MUE 19"
"fue 43","MUE 5"
"fue 44","MUE 12"
"fue 45","MUE 13"
"fue 46","MUE 14"
"fue 47","MUE 27"
"fue 49","MUE 23"
"fue 50","MUE 7"
"fue 54","MUE 29"
"fue 57","MUE 17"
"fue 58","MUE 21"
"fue 59","MUE 25"
"fue 63","MUE 3"
"fue 64","MUE 1"
"fue 66","MUE 30"
"fue 69","MUE 33"
"fue 75","MUE 4"
"fue 76","MUE 22"
"fue 77","MUE 26"
"fue 80","MUE 35"
"fue 83","MUE 2"
