"fue","MUE"
"fue 1","MUE 23"
"fue 2","MUE 3"
"fue 3","MUE 26"
"fue 4","MUE 32"
"fue 5","MUE 28"
"fue 6","MUE 24"
"fue 9","MUE 1"
"fue 10","MUE 25"
"fue 15","MUE 18"
"fue 16","MUE 5"
"fue 18","MUE 22"
"fue 20","MUE 27"
"fue 21","MUE 36"
"fue 22","MUE 31"
"fue 24","MUE 33"
"fue 25","MUE 7"
"fue 26","MUE 16"
"fue 27","MUE 29"
"fue 31","MUE 14"
"fue 35","MUE 35"
"fue 36","MUE 10"
"fue 41","MUE 4"
"fue 47","MUE 8"
"fue 61","MUE 15"
"fue 62","MUE 20"
"fue 64","MUE 9"
"fue 66","MUE 17"
"fue 68","MUE 6"
"fue 70","MUE 11"
"fue 71","MUE 19"
"fue 76","MUE 13"
"fue 78","MUE 21"
"fue 83","MUE 30"
"fue 84","MUE 34"
"fue 85","MUE 12"
"fue 86","MUE 2"
