"fue","MUE"
"fue 4","MUE 10"
"fue 5","MUE 11"
"fue 6","MUE 27"
"fue 10","MUE 7"
"fue 12","MUE 28"
"fue 14","MUE 35"
"fue 15","MUE 3"
"fue 17","MUE 21"
"fue 19","MUE 16"
"fue 21","MUE 9"
"fue 23","MUE 8"
"fue 24","MUE 20"
"fue 25","MUE 18"
"fue 26","MUE 23"
"fue 29","MUE 6"
"fue 31","MUE 4"
"fue 35","MUE 24"
"fue 36","MUE 2"
"fue 39","MUE 13"
"fue 42","MUE 33"
"fue 44","MUE 15"
"fue 46","MUE 5"
"fue 48","MUE 29"
"fue 50","MUE 19"
"fue 51","MUE 30"
"fue 55","MUE 12"
"fue 56","MUE 1"
"fue 58","MUE 26"
"fue 59","MUE 34"
"fue 68","MUE 36"
"fue 69","MUE 14"
"fue 70","MUE 31"
"fue 74","MUE 22"
"fue 76","MUE 32"
"fue 82","MUE 25"
"fue 83","MUE 17"
