"fue","MUE"
"fue 1","MUE 7"
"fue 2","MUE 14"
"fue 9","MUE 19"
"fue 10","MUE 8"
"fue 14","MUE 4"
"fue 15","MUE 21"
"fue 23","MUE 3"
"fue 24","MUE 29"
"fue 25","MUE 22"
"fue 27","MUE 26"
"fue 28","MUE 34"
"fue 30","MUE 30"
"fue 33","MUE 28"
"fue 34","MUE 17"
"fue 35","MUE 35"
"fue 36","MUE 32"
"fue 37","MUE 6"
"fue 40","MUE 33"
"fue 42","MUE 24"
"fue 43","MUE 27"
"fue 45","MUE 12"
"fue 46","MUE 5"
"fue 47","MUE 36"
"fue 48","MUE 2"
"fue 49","MUE 20"
"fue 51","MUE 15"
"fue 53","MUE 23"
"fue 55","MUE 11"
"fue 56","MUE 31"
"fue 57","MUE 25"
"fue 59","MUE 1"
"fue 60","MUE 18"
"fue 62","MUE 10"
"fue 65","MUE 9"
"fue 66","MUE 13"
"fue 69","MUE 16"
