"fue","MUE"
"fue 1","MUE 16"
"fue 3","MUE 20"
"fue 4","MUE 13"
"fue 6","MUE 29"
"fue 7","MUE 25"
"fue 10","MUE 21"
"fue 12","MUE 15"
"fue 13","MUE 5"
"fue 14","MUE 7"
"fue 15","MUE 1"
"fue 16","MUE 30"
"fue 18","MUE 4"
"fue 19","MUE 19"
"fue 21","MUE 23"
"fue 22","MUE 12"
"fue 23","MUE 24"
"fue 24","MUE 31"
"fue 25","MUE 34"
"fue 29","MUE 36"
"fue 31","MUE 8"
"fue 33","MUE 33"
"fue 34","MUE 17"
"fue 35","MUE 35"
"fue 36","MUE 10"
"fue 39","MUE 26"
"fue 40","MUE 3"
"fue 43","MUE 9"
"fue 44","MUE 18"
"fue 45","MUE 11"
"fue 46","MUE 28"
"fue 49","MUE 2"
"fue 50","MUE 14"
"fue 51","MUE 27"
"fue 52","MUE 32"
"fue 53","MUE 6"
"fue 54","MUE 22"
