"fue","MUE"
"fue 2","MUE 10"
"fue 3","MUE 14"
"fue 4","MUE 36"
"fue 5","MUE 23"
"fue 6","MUE 6"
"fue 7","MUE 7"
"fue 8","MUE 27"
"fue 10","MUE 33"
"fue 13","MUE 28"
"fue 14","MUE 31"
"fue 15","MUE 2"
"fue 16","MUE 20"
"fue 18","MUE 8"
"fue 19","MUE 9"
"fue 20","MUE 12"
"fue 21","MUE 25"
"fue 22","MUE 29"
"fue 23","MUE 30"
"fue 26","MUE 32"
"fue 27","MUE 17"
"fue 29","MUE 16"
"fue 31","MUE 24"
"fue 32","MUE 4"
"fue 33","MUE 19"
"fue 34","MUE 13"
"fue 35","MUE 11"
"fue 36","MUE 26"
"fue 37","MUE 18"
"fue 40","MUE 22"
"fue 41","MUE 3"
"fue 42","MUE 21"
"fue 43","MUE 1"
"fue 45","MUE 15"
"fue 46","MUE 5"
"fue 47","MUE 34"
"fue 48","MUE 35"
