"fue","MUE"
"fue 4","MUE 13"
"fue 5","MUE 22"
"fue 8","MUE 21"
"fue 11","MUE 5"
"fue 12","MUE 30"
"fue 18","MUE 23"
"fue 19","MUE 15"
"fue 27","MUE 17"
"fue 31","MUE 35"
"fue 34","MUE 1"
"fue 37","MUE 26"
"fue 40","MUE 28"
"fue 41","MUE 8"
"fue 44","MUE 4"
"fue 45","MUE 12"
"fue 48","MUE 34"
"fue 49","MUE 24"
"fue 52","MUE 14"
"fue 53","MUE 27"
"fue 54","MUE 29"
"fue 60","MUE 32"
"fue 65","MUE 25"
"fue 66","MUE 11"
"fue 67","MUE 6"
"fue 69","MUE 10"
"fue 70","MUE 20"
"fue 72","MUE 9"
"fue 74","MUE 36"
"fue 75","MUE 33"
"fue 76","MUE 16"
"fue 78","MUE 31"
"fue 79","MUE 2"
"fue 83","MUE 7"
"fue 87","MUE 19"
"fue 88","MUE 3"
"fue 89","MUE 18"
