"fue","MUE"
"fue 3","MUE 4"
"fue 4","MUE 6"
"fue 7","MUE 16"
"fue 8","MUE 30"
"fue 9","MUE 20"
"fue 12","MUE 7"
"fue 15","MUE 2"
"fue 16","MUE 32"
"fue 18","MUE 25"
"fue 20","MUE 24"
"fue 21","MUE 10"
"fue 23","MUE 33"
"fue 24","MUE 29"
"fue 25","MUE 23"
"fue 27","MUE 36"
"fue 29","MUE 5"
"fue 30","MUE 28"
"fue 35","MUE 22"
"fue 39","MUE 8"
"fue 43","MUE 34"
"fue 45","MUE 12"
"fue 50","MUE 35"
"fue 53","MUE 3"
"fue 55","MUE 21"
"fue 56","MUE 31"
"fue 57","MUE 14"
"fue 63","MUE 15"
"fue 68","MUE 9"
"fue 70","MUE 26"
"fue 72","MUE 19"
"fue 74","MUE 27"
"fue 75","MUE 11"
"fue 76","MUE 17"
"fue 77","MUE 13"
"fue 80","MUE 18"
"fue 88","MUE 1"
