"fue","MUE"
"fue 1","MUE 1"
"fue 2","MUE 16"
"fue 4","MUE 22"
"fue 9","MUE 31"
"fue 15","MUE 9"
"fue 17","MUE 23"
"fue 18","MUE 28"
"fue 21","MUE 24"
"fue 23","MUE 15"
"fue 24","MUE 17"
"fue 33","MUE 21"
"fue 38","MUE 12"
"fue 41","MUE 10"
"fue 45","MUE 2"
"fue 47","MUE 35"
"fue 48","MUE 13"
"fue 49","MUE 8"
"fue 50","MUE 6"
"fue 55","MUE 25"
"fue 57","MUE 29"
"fue 58","MUE 19"
"fue 61","MUE 14"
"fue 62","MUE 4"
"fue 63","MUE 27"
"fue 64","MUE 20"
"fue 66","MUE 5"
"fue 67","MUE 33"
"fue 68","MUE 30"
"fue 73","MUE 11"
"fue 74","MUE 32"
"fue 76","MUE 26"
"fue 79","MUE 3"
"fue 86","MUE 34"
"fue 87","MUE 36"
"fue 89","MUE 7"
"fue 90","MUE 18"
