"fue","MUE"
"fue 2","MUE 32"
"fue 3","MUE 2"
"fue 4","MUE 16"
"fue 5","MUE 31"
"fue 7","MUE 7"
"fue 9","MUE 26"
"fue 11","MUE 17"
"fue 12","MUE 23"
"fue 13","MUE 27"
"fue 14","MUE 13"
"fue 15","MUE 29"
"fue 17","MUE 12"
"fue 18","MUE 4"
"fue 19","MUE 11"
"fue 20","MUE 28"
"fue 21","MUE 14"
"fue 22","MUE 25"
"fue 23","MUE 5"
"fue 26","MUE 10"
"fue 28","MUE 35"
"fue 29","MUE 1"
"fue 30","MUE 8"
"fue 32","MUE 6"
"fue 33","MUE 15"
"fue 34","MUE 21"
"fue 36","MUE 36"
"fue 37","MUE 34"
"fue 38","MUE 18"
"fue 39","MUE 33"
"fue 42","MUE 24"
"fue 43","MUE 9"
"fue 44","MUE 19"
"fue 46","MUE 20"
"fue 48","MUE 3"
"fue 51","MUE 22"
"fue 54","MUE 30"
