"fue","MUE"
"fue 1","MUE 19"
"fue 9","MUE 35"
"fue 10","MUE 22"
"fue 13","MUE 32"
"fue 15","MUE 7"
"fue 16","MUE 2"
"fue 19","MUE 15"
"fue 22","MUE 36"
"fue 25","MUE 24"
"fue 26","MUE 29"
"fue 28","MUE 1"
"fue 29","MUE 30"
"fue 33","MUE 20"
"fue 34","MUE 25"
"fue 35","MUE 26"
"fue 37","MUE 34"
"fue 41","MUE 33"
"fue 44","MUE 27"
"fue 46","MUE 13"
"fue 47","MUE 31"
"fue 49","MUE 14"
"fue 50","MUE 4"
"fue 51","MUE 21"
"fue 52","MUE 9"
"fue 56","MUE 8"
"fue 58","MUE 3"
"fue 59","MUE 11"
"fue 60","MUE 28"
"fue 67","MUE 12"
"fue 68","MUE 18"
"fue 69","MUE 6"
"fue 72","MUE 17"
"fue 74","MUE 10"
"fue 75","MUE 16"
"fue 78","MUE 5"
"fue 84","MUE 23"
