"fue","MUE"
"fue 2","MUE 29"
"fue 3","MUE 21"
"fue 4","MUE 3"
"fue 5","MUE 24"
"fue 6","MUE 15"
"fue 8","MUE 28"
"fue 9","MUE 20"
"fue 11","MUE 13"
"fue 13","MUE 32"
"fue 14","MUE 10"
"fue 15","MUE 5"
"fue 17","MUE 11"
"fue 19","MUE 30"
"fue 20","MUE 19"
"fue 21","MUE 31"
"fue 22","MUE 23"
"fue 24","MUE 35"
"fue 25","MUE 1"
"fue 26","MUE 14"
"fue 27","MUE 7"
"fue 28","MUE 9"
"fue 29","MUE 26"
"fue 30","MUE 17"
"fue 31","MUE 2"
"fue 32","MUE 16"
"fue 33","MUE 33"
"fue 34","MUE 18"
"fue 36","MUE 8"
"fue 39","MUE 27"
"fue 40","MUE 12"
"fue 41","MUE 22"
"fue 43","MUE 36"
"fue 44","MUE 6"
"fue 45","MUE 34"
"fue 47","MUE 25"
"fue 48","MUE 4"
