"fue","MUE"
"fue 2","MUE 32"
"fue 6","MUE 18"
"fue 8","MUE 4"
"fue 10","MUE 10"
"fue 12","MUE 22"
"fue 13","MUE 24"
"fue 19","MUE 30"
"fue 21","MUE 7"
"fue 23","MUE 13"
"fue 24","MUE 27"
"fue 27","MUE 15"
"fue 30","MUE 35"
"fue 31","MUE 34"
"fue 32","MUE 36"
"fue 35","MUE 11"
"fue 36","MUE 21"
"fue 37","MUE 8"
"fue 40","MUE 23"
"fue 45","MUE 28"
"fue 46","MUE 31"
"fue 47","MUE 5"
"fue 50","MUE 12"
"fue 54","MUE 16"
"fue 55","MUE 14"
"fue 57","MUE 25"
"fue 58","MUE 2"
"fue 60","MUE 20"
"fue 61","MUE 33"
"fue 62","MUE 6"
"fue 69","MUE 9"
"fue 70","MUE 17"
"fue 71","MUE 26"
"fue 72","MUE 19"
"fue 75","MUE 1"
"fue 76","MUE 3"
"fue 77","MUE 29"
