"fue","MUE"
"fue 2","MUE 21"
"fue 4","MUE 2"
"fue 5","MUE 29"
"fue 6","MUE 28"
"fue 9","MUE 3"
"fue 10","MUE 36"
"fue 11","MUE 30"
"fue 15","MUE 25"
"fue 16","MUE 24"
"fue 20","MUE 26"
"fue 21","MUE 22"
"fue 22","MUE 35"
"fue 24","MUE 33"
"fue 26","MUE 11"
"fue 28","MUE 7"
"fue 30","MUE 4"
"fue 32","MUE 12"
"fue 34","MUE 15"
"fue 37","MUE 31"
"fue 39","MUE 13"
"fue 40","MUE 8"
"fue 41","MUE 5"
"fue 43","MUE 34"
"fue 44","MUE 17"
"fue 45","MUE 27"
"fue 46","MUE 32"
"fue 52","MUE 18"
"fue 55","MUE 9"
"fue 57","MUE 19"
"fue 58","MUE 16"
"fue 61","MUE 14"
"fue 64","MUE 1"
"fue 65","MUE 10"
"fue 66","MUE 23"
"fue 69","MUE 20"
"fue 70","MUE 6"
