"fue","MUE"
"fue 2","MUE 21"
"fue 3","MUE 18"
"fue 10","MUE 26"
"fue 14","MUE 28"
"fue 16","MUE 14"
"fue 18","MUE 27"
"fue 20","MUE 36"
"fue 23","MUE 3"
"fue 24","MUE 4"
"fue 25","MUE 34"
"fue 26","MUE 7"
"fue 27","MUE 22"
"fue 29","MUE 8"
"fue 31","MUE 16"
"fue 32","MUE 9"
"fue 33","MUE 33"
"fue 34","MUE 5"
"fue 37","MUE 19"
"fue 38","MUE 23"
"fue 43","MUE 29"
"fue 47","MUE 2"
"fue 53","MUE 15"
"fue 56","MUE 32"
"fue 63","MUE 31"
"fue 64","MUE 25"
"fue 66","MUE 6"
"fue 67","MUE 20"
"fue 70","MUE 17"
"fue 71","MUE 1"
"fue 72","MUE 35"
"fue 74","MUE 30"
"fue 77","MUE 24"
"fue 83","MUE 12"
"fue 86","MUE 10"
"fue 88","MUE 11"
"fue 90","MUE 13"
