"fue","MUE"
"fue 2","MUE 33"
"fue 3","MUE 26"
"fue 5","MUE 20"
"fue 7","MUE 4"
"fue 9","MUE 36"
"fue 12","MUE 7"
"fue 14","MUE 8"
"fue 15","MUE 27"
"fue 16","MUE 32"
"fue 18","MUE 30"
"fue 21","MUE 5"
"fue 22","MUE 31"
"fue 23","MUE 1"
"fue 24","MUE 18"
"fue 25","MUE 28"
"fue 28","MUE 17"
"fue 30","MUE 14"
"fue 32","MUE 15"
"fue 35","MUE 24"
"fue 37","MUE 25"
"fue 40","MUE 3"
"fue 41","MUE 10"
"fue 42","MUE 35"
"fue 44","MUE 13"
"fue 47","MUE 2"
"fue 50","MUE 11"
"fue 51","MUE 34"
"fue 52","MUE 29"
"fue 53","MUE 9"
"fue 55","MUE 12"
"fue 56","MUE 19"
"fue 57","MUE 6"
"fue 58","MUE 21"
"fue 59","MUE 16"
"fue 62","MUE 22"
"fue 64","MUE 23"
