"fue","MUE"
"fue 2","MUE 36"
"fue 4","MUE 15"
"fue 6","MUE 14"
"fue 9","MUE 35"
"fue 15","MUE 34"
"fue 18","MUE 24"
"fue 20","MUE 19"
"fue 24","MUE 1"
"fue 31","MUE 30"
"fue 32","MUE 17"
"fue 33","MUE 21"
"fue 34","MUE 25"
"fue 35","MUE 32"
"fue 40","MUE 27"
"fue 44","MUE 5"
"fue 47","MUE 33"
"fue 48","MUE 16"
"fue 52","MUE 2"
"fue 54","MUE 9"
"fue 55","MUE 13"
"fue 57","MUE 22"
"fue 58","MUE 8"
"fue 60","MUE 18"
"fue 62","MUE 12"
"fue 63","MUE 3"
"fue 68","MUE 31"
"fue 69","MUE 11"
"fue 71","MUE 28"
"fue 73","MUE 10"
"fue 79","MUE 6"
"fue 83","MUE 26"
"fue 84","MUE 23"
"fue 85","MUE 4"
"fue 86","MUE 29"
"fue 88","MUE 20"
"fue 90","MUE 7"
