"fue","MUE"
"fue 3","MUE 21"
"fue 4","MUE 2"
"fue 5","MUE 10"
"fue 6","MUE 7"
"fue 9","MUE 5"
"fue 11","MUE 17"
"fue 14","MUE 3"
"fue 15","MUE 23"
"fue 17","MUE 11"
"fue 19","MUE 18"
"fue 21","MUE 8"
"fue 22","MUE 31"
"fue 23","MUE 1"
"fue 24","MUE 33"
"fue 27","MUE 34"
"fue 29","MUE 4"
"fue 30","MUE 36"
"fue 31","MUE 25"
"fue 32","MUE 26"
"fue 34","MUE 15"
"fue 35","MUE 27"
"fue 38","MUE 28"
"fue 40","MUE 30"
"fue 44","MUE 32"
"fue 45","MUE 16"
"fue 47","MUE 35"
"fue 48","MUE 20"
"fue 50","MUE 19"
"fue 52","MUE 24"
"fue 54","MUE 29"
"fue 55","MUE 12"
"fue 56","MUE 13"
"fue 57","MUE 22"
"fue 60","MUE 9"
"fue 63","MUE 6"
"fue 64","MUE 14"
