"fue","MUE"
"fue 2","MUE 12"
"fue 4","MUE 1"
"fue 11","MUE 30"
"fue 13","MUE 29"
"fue 15","MUE 18"
"fue 17","MUE 3"
"fue 19","MUE 11"
"fue 20","MUE 8"
"fue 21","MUE 32"
"fue 22","MUE 5"
"fue 23","MUE 24"
"fue 25","MUE 27"
"fue 28","MUE 4"
"fue 29","MUE 31"
"fue 33","MUE 14"
"fue 34","MUE 7"
"fue 38","MUE 25"
"fue 39","MUE 16"
"fue 40","MUE 22"
"fue 41","MUE 35"
"fue 44","MUE 13"
"fue 45","MUE 21"
"fue 46","MUE 2"
"fue 47","MUE 17"
"fue 48","MUE 15"
"fue 49","MUE 20"
"fue 52","MUE 23"
"fue 57","MUE 26"
"fue 59","MUE 28"
"fue 66","MUE 19"
"fue 67","MUE 33"
"fue 71","MUE 36"
"fue 73","MUE 34"
"fue 76","MUE 10"
"fue 83","MUE 6"
"fue 88","MUE 9"
