"fue","MUE"
"fue 2","MUE 21"
"fue 4","MUE 12"
"fue 5","MUE 9"
"fue 9","MUE 15"
"fue 12","MUE 22"
"fue 16","MUE 17"
"fue 17","MUE 2"
"fue 20","MUE 30"
"fue 21","MUE 11"
"fue 27","MUE 28"
"fue 30","MUE 13"
"fue 31","MUE 3"
"fue 32","MUE 18"
"fue 35","MUE 8"
"fue 36","MUE 27"
"fue 37","MUE 34"
"fue 38","MUE 19"
"fue 40","MUE 25"
"fue 42","MUE 35"
"fue 44","MUE 1"
"fue 49","MUE 10"
"fue 51","MUE 7"
"fue 54","MUE 26"
"fue 55","MUE 23"
"fue 56","MUE 31"
"fue 57","MUE 4"
"fue 59","MUE 24"
"fue 60","MUE 14"
"fue 61","MUE 6"
"fue 62","MUE 16"
"fue 63","MUE 33"
"fue 64","MUE 36"
"fue 65","MUE 29"
"fue 69","MUE 20"
"fue 72","MUE 5"
"fue 77","MUE 32"
