"fue","MUE"
"fue 2","MUE 28"
"fue 5","MUE 36"
"fue 6","MUE 15"
"fue 7","MUE 35"
"fue 9","MUE 2"
"fue 10","MUE 11"
"fue 12","MUE 17"
"fue 13","MUE 30"
"fue 14","MUE 27"
"fue 16","MUE 34"
"fue 21","MUE 14"
"fue 22","MUE 22"
"fue 24","MUE 9"
"fue 26","MUE 4"
"fue 27","MUE 20"
"fue 28","MUE 25"
"fue 31","MUE 13"
"fue 32","MUE 5"
"fue 33","MUE 19"
"fue 34","MUE 3"
"fue 35","MUE 26"
"fue 37","MUE 10"
"fue 38","MUE 21"
"fue 41","MUE 7"
"fue 42","MUE 33"
"fue 43","MUE 1"
"fue 44","MUE 23"
"fue 45","MUE 6"
"fue 46","MUE 8"
"fue 49","MUE 16"
"fue 51","MUE 31"
"fue 52","MUE 18"
"fue 53","MUE 12"
"fue 54","MUE 24"
"fue 56","MUE 29"
"fue 60","MUE 32"
