"fue","MUE"
"fue 1","MUE 1"
"fue 8","MUE 28"
"fue 9","MUE 29"
"fue 10","MUE 22"
"fue 12","MUE 9"
"fue 13","MUE 11"
"fue 16","MUE 32"
"fue 17","MUE 6"
"fue 18","MUE 4"
"fue 19","MUE 8"
"fue 22","MUE 2"
"fue 23","MUE 12"
"fue 27","MUE 10"
"fue 29","MUE 27"
"fue 31","MUE 35"
"fue 32","MUE 34"
"fue 34","MUE 31"
"fue 37","MUE 18"
"fue 38","MUE 7"
"fue 40","MUE 36"
"fue 41","MUE 21"
"fue 44","MUE 26"
"fue 45","MUE 13"
"fue 47","MUE 25"
"fue 48","MUE 15"
"fue 53","MUE 33"
"fue 54","MUE 30"
"fue 55","MUE 20"
"fue 56","MUE 14"
"fue 59","MUE 3"
"fue 60","MUE 24"
"fue 62","MUE 5"
"fue 64","MUE 17"
"fue 65","MUE 16"
"fue 66","MUE 19"
"fue 72","MUE 23"
