"fue","MUE"
"fue 1","MUE 7"
"fue 8","MUE 11"
"fue 11","MUE 20"
"fue 14","MUE 13"
"fue 16","MUE 16"
"fue 19","MUE 2"
"fue 21","MUE 28"
"fue 26","MUE 18"
"fue 29","MUE 21"
"fue 30","MUE 22"
"fue 31","MUE 6"
"fue 32","MUE 33"
"fue 33","MUE 1"
"fue 34","MUE 26"
"fue 38","MUE 10"
"fue 39","MUE 19"
"fue 41","MUE 34"
"fue 43","MUE 5"
"fue 49","MUE 17"
"fue 51","MUE 8"
"fue 55","MUE 32"
"fue 56","MUE 27"
"fue 59","MUE 35"
"fue 60","MUE 31"
"fue 61","MUE 9"
"fue 64","MUE 4"
"fue 65","MUE 29"
"fue 66","MUE 15"
"fue 68","MUE 24"
"fue 69","MUE 14"
"fue 70","MUE 36"
"fue 71","MUE 23"
"fue 73","MUE 25"
"fue 74","MUE 3"
"fue 76","MUE 12"
"fue 77","MUE 30"
