"fue","MUE"
"fue 2","MUE 1"
"fue 3","MUE 30"
"fue 5","MUE 2"
"fue 7","MUE 35"
"fue 9","MUE 21"
"fue 10","MUE 7"
"fue 11","MUE 11"
"fue 13","MUE 14"
"fue 16","MUE 32"
"fue 20","MUE 15"
"fue 23","MUE 34"
"fue 26","MUE 31"
"fue 29","MUE 23"
"fue 30","MUE 19"
"fue 31","MUE 27"
"fue 32","MUE 29"
"fue 33","MUE 25"
"fue 38","MUE 36"
"fue 40","MUE 8"
"fue 41","MUE 9"
"fue 45","MUE 18"
"fue 47","MUE 13"
"fue 51","MUE 22"
"fue 53","MUE 33"
"fue 55","MUE 4"
"fue 57","MUE 6"
"fue 59","MUE 12"
"fue 61","MUE 16"
"fue 62","MUE 3"
"fue 64","MUE 26"
"fue 66","MUE 17"
"fue 68","MUE 24"
"fue 70","MUE 28"
"fue 71","MUE 10"
"fue 73","MUE 20"
"fue 75","MUE 5"
