"fue","MUE"
"fue 1","MUE 34"
"fue 2","MUE 11"
"fue 5","MUE 28"
"fue 6","MUE 4"
"fue 7","MUE 26"
"fue 9","MUE 30"
"fue 10","MUE 27"
"fue 11","MUE 20"
"fue 14","MUE 24"
"fue 17","MUE 16"
"fue 22","MUE 10"
"fue 23","MUE 13"
"fue 25","MUE 19"
"fue 26","MUE 17"
"fue 28","MUE 2"
"fue 31","MUE 14"
"fue 34","MUE 6"
"fue 37","MUE 22"
"fue 42","MUE 9"
"fue 43","MUE 8"
"fue 45","MUE 25"
"fue 46","MUE 7"
"fue 47","MUE 18"
"fue 48","MUE 12"
"fue 49","MUE 1"
"fue 50","MUE 32"
"fue 51","MUE 21"
"fue 52","MUE 36"
"fue 54","MUE 5"
"fue 57","MUE 31"
"fue 58","MUE 23"
"fue 59","MUE 35"
"fue 61","MUE 3"
"fue 62","MUE 29"
"fue 63","MUE 15"
"fue 65","MUE 33"
