"fue","MUE"
"fue 1","MUE 25"
"fue 4","MUE 34"
"fue 6","MUE 17"
"fue 9","MUE 27"
"fue 10","MUE 35"
"fue 15","MUE 10"
"fue 16","MUE 13"
"fue 18","MUE 3"
"fue 22","MUE 12"
"fue 23","MUE 14"
"fue 24","MUE 8"
"fue 25","MUE 26"
"fue 28","MUE 18"
"fue 30","MUE 4"
"fue 33","MUE 28"
"fue 34","MUE 24"
"fue 36","MUE 7"
"fue 37","MUE 31"
"fue 38","MUE 9"
"fue 40","MUE 22"
"fue 42","MUE 6"
"fue 48","MUE 33"
"fue 49","MUE 2"
"fue 50","MUE 23"
"fue 51","MUE 16"
"fue 54","MUE 5"
"fue 55","MUE 32"
"fue 59","MUE 1"
"fue 60","MUE 20"
"fue 62","MUE 30"
"fue 63","MUE 21"
"fue 64","MUE 29"
"fue 66","MUE 15"
"fue 67","MUE 11"
"fue 68","MUE 36"
"fue 70","MUE 19"
