"fue","MUE"
"fue 7","MUE 23"
"fue 8","MUE 7"
"fue 12","MUE 17"
"fue 13","MUE 14"
"fue 17","MUE 3"
"fue 18","MUE 15"
"fue 19","MUE 11"
"fue 21","MUE 29"
"fue 22","MUE 26"
"fue 24","MUE 24"
"fue 25","MUE 1"
"fue 30","MUE 9"
"fue 32","MUE 35"
"fue 33","MUE 20"
"fue 34","MUE 10"
"fue 41","MUE 33"
"fue 47","MUE 30"
"fue 50","MUE 34"
"fue 51","MUE 5"
"fue 54","MUE 6"
"fue 55","MUE 31"
"fue 60","MUE 12"
"fue 63","MUE 8"
"fue 68","MUE 13"
"fue 69","MUE 25"
"fue 71","MUE 22"
"fue 73","MUE 18"
"fue 74","MUE 21"
"fue 77","MUE 2"
"fue 79","MUE 32"
"fue 80","MUE 36"
"fue 82","MUE 28"
"fue 86","MUE 19"
"fue 87","MUE 4"
"fue 88","MUE 16"
"fue 89","MUE 27"
