"fue","MUE"
"fue 1","MUE 10"
"fue 2","MUE 26"
"fue 3","MUE 7"
"fue 4","MUE 21"
"fue 5","MUE 4"
"fue 7","MUE 6"
"fue 8","MUE 9"
"fue 10","MUE 11"
"fue 11","MUE 22"
"fue 12","MUE 13"
"fue 13","MUE 18"
"fue 14","MUE 15"
"fue 15","MUE 36"
"fue 16","MUE 17"
"fue 17","MUE 23"
"fue 18","MUE 3"
"fue 20","MUE 16"
"fue 22","MUE 25"
"fue 24","MUE 31"
"fue 26","MUE 34"
"fue 27","MUE 29"
"fue 28","MUE 5"
"fue 29","MUE 1"
"fue 30","MUE 35"
"fue 31","MUE 12"
"fue 32","MUE 27"
"fue 33","MUE 14"
"fue 34","MUE 8"
"fue 37","MUE 20"
"fue 39","MUE 32"
"fue 40","MUE 2"
"fue 42","MUE 24"
"fue 43","MUE 19"
"fue 44","MUE 33"
"fue 45","MUE 30"
"fue 46","MUE 28"
