"fue","MUE"
"fue 1","MUE 16"
"fue 3","MUE 33"
"fue 4","MUE 20"
"fue 5","MUE 24"
"fue 6","MUE 5"
"fue 10","MUE 10"
"fue 11","MUE 22"
"fue 12","MUE 7"
"fue 13","MUE 9"
"fue 15","MUE 34"
"fue 16","MUE 6"
"fue 17","MUE 14"
"fue 18","MUE 1"
"fue 19","MUE 35"
"fue 20","MUE 3"
"fue 21","MUE 36"
"fue 22","MUE 30"
"fue 25","MUE 26"
"fue 26","MUE 18"
"fue 29","MUE 8"
"fue 30","MUE 15"
"fue 34","MUE 2"
"fue 37","MUE 12"
"fue 38","MUE 19"
"fue 40","MUE 23"
"fue 41","MUE 25"
"fue 44","MUE 32"
"fue 45","MUE 27"
"fue 46","MUE 17"
"fue 47","MUE 4"
"fue 49","MUE 21"
"fue 50","MUE 28"
"fue 51","MUE 13"
"fue 52","MUE 29"
"fue 53","MUE 11"
"fue 54","MUE 31"
