"fue","MUE"
"fue 2","MUE 11"
"fue 3","MUE 24"
"fue 5","MUE 29"
"fue 7","MUE 35"
"fue 10","MUE 31"
"fue 12","MUE 26"
"fue 13","MUE 12"
"fue 16","MUE 34"
"fue 17","MUE 25"
"fue 18","MUE 22"
"fue 19","MUE 5"
"fue 20","MUE 28"
"fue 22","MUE 32"
"fue 23","MUE 21"
"fue 24","MUE 1"
"fue 25","MUE 17"
"fue 27","MUE 3"
"fue 29","MUE 19"
"fue 32","MUE 30"
"fue 34","MUE 36"
"fue 35","MUE 16"
"fue 36","MUE 9"
"fue 38","MUE 20"
"fue 43","MUE 14"
"fue 49","MUE 6"
"fue 51","MUE 13"
"fue 52","MUE 10"
"fue 53","MUE 7"
"fue 58","MUE 23"
"fue 62","MUE 27"
"fue 63","MUE 4"
"fue 64","MUE 33"
"fue 65","MUE 2"
"fue 68","MUE 18"
"fue 69","MUE 8"
"fue 70","MUE 15"
