"fue","MUE"
"fue 5","MUE 15"
"fue 9","MUE 2"
"fue 10","MUE 19"
"fue 11","MUE 5"
"fue 12","MUE 25"
"fue 19","MUE 4"
"fue 21","MUE 32"
"fue 22","MUE 30"
"fue 23","MUE 33"
"fue 25","MUE 1"
"fue 26","MUE 23"
"fue 28","MUE 17"
"fue 32","MUE 13"
"fue 33","MUE 7"
"fue 36","MUE 6"
"fue 39","MUE 31"
"fue 40","MUE 27"
"fue 46","MUE 26"
"fue 48","MUE 35"
"fue 49","MUE 8"
"fue 50","MUE 36"
"fue 54","MUE 3"
"fue 57","MUE 21"
"fue 63","MUE 28"
"fue 64","MUE 18"
"fue 68","MUE 29"
"fue 69","MUE 12"
"fue 70","MUE 9"
"fue 73","MUE 16"
"fue 74","MUE 34"
"fue 78","MUE 24"
"fue 80","MUE 14"
"fue 82","MUE 10"
"fue 84","MUE 11"
"fue 85","MUE 22"
"fue 90","MUE 20"
