"fue","MUE"
"fue 2","MUE 17"
"fue 8","MUE 5"
"fue 11","MUE 29"
"fue 14","MUE 3"
"fue 18","MUE 10"
"fue 20","MUE 27"
"fue 25","MUE 33"
"fue 26","MUE 1"
"fue 27","MUE 22"
"fue 28","MUE 11"
"fue 29","MUE 20"
"fue 31","MUE 9"
"fue 33","MUE 14"
"fue 36","MUE 18"
"fue 37","MUE 28"
"fue 40","MUE 26"
"fue 41","MUE 34"
"fue 44","MUE 16"
"fue 45","MUE 13"
"fue 46","MUE 23"
"fue 48","MUE 30"
"fue 51","MUE 36"
"fue 53","MUE 32"
"fue 57","MUE 35"
"fue 58","MUE 15"
"fue 59","MUE 6"
"fue 66","MUE 21"
"fue 67","MUE 8"
"fue 68","MUE 25"
"fue 73","MUE 24"
"fue 76","MUE 12"
"fue 82","MUE 7"
"fue 83","MUE 4"
"fue 84","MUE 31"
"fue 88","MUE 19"
"fue 89","MUE 2"
