"fue","MUE"
"fue 3","MUE 23"
"fue 4","MUE 9"
"fue 5","MUE 3"
"fue 7","MUE 19"
"fue 9","MUE 6"
"fue 10","MUE 1"
"fue 13","MUE 10"
"fue 14","MUE 18"
"fue 15","MUE 15"
"fue 18","MUE 24"
"fue 20","MUE 14"
"fue 21","MUE 12"
"fue 22","MUE 27"
"fue 24","MUE 2"
"fue 31","MUE 25"
"fue 34","MUE 5"
"fue 35","MUE 16"
"fue 36","MUE 34"
"fue 37","MUE 21"
"fue 38","MUE 30"
"fue 40","MUE 31"
"fue 41","MUE 11"
"fue 42","MUE 35"
"fue 44","MUE 33"
"fue 45","MUE 20"
"fue 48","MUE 36"
"fue 49","MUE 26"
"fue 50","MUE 8"
"fue 51","MUE 29"
"fue 53","MUE 22"
"fue 54","MUE 32"
"fue 55","MUE 13"
"fue 56","MUE 4"
"fue 58","MUE 7"
"fue 59","MUE 28"
"fue 60","MUE 17"
