"fue","MUE"
"fue 3","MUE 2"
"fue 5","MUE 17"
"fue 9","MUE 5"
"fue 12","MUE 35"
"fue 14","MUE 32"
"fue 15","MUE 8"
"fue 17","MUE 27"
"fue 19","MUE 29"
"fue 27","MUE 16"
"fue 28","MUE 31"
"fue 30","MUE 7"
"fue 35","MUE 4"
"fue 39","MUE 12"
"fue 40","MUE 28"
"fue 42","MUE 33"
"fue 45","MUE 21"
"fue 47","MUE 36"
"fue 48","MUE 1"
"fue 49","MUE 34"
"fue 51","MUE 30"
"fue 53","MUE 18"
"fue 55","MUE 3"
"fue 56","MUE 25"
"fue 57","MUE 15"
"fue 58","MUE 10"
"fue 63","MUE 26"
"fue 70","MUE 13"
"fue 71","MUE 23"
"fue 74","MUE 20"
"fue 75","MUE 22"
"fue 76","MUE 19"
"fue 81","MUE 14"
"fue 83","MUE 24"
"fue 84","MUE 6"
"fue 85","MUE 9"
"fue 86","MUE 11"
