"fue","MUE"
"fue 2","MUE 27"
"fue 5","MUE 28"
"fue 7","MUE 14"
"fue 8","MUE 22"
"fue 9","MUE 33"
"fue 10","MUE 35"
"fue 11","MUE 23"
"fue 15","MUE 15"
"fue 18","MUE 11"
"fue 21","MUE 29"
"fue 22","MUE 21"
"fue 24","MUE 10"
"fue 25","MUE 16"
"fue 27","MUE 5"
"fue 29","MUE 9"
"fue 30","MUE 8"
"fue 33","MUE 3"
"fue 35","MUE 24"
"fue 37","MUE 6"
"fue 38","MUE 20"
"fue 39","MUE 7"
"fue 42","MUE 2"
"fue 44","MUE 32"
"fue 46","MUE 13"
"fue 48","MUE 17"
"fue 49","MUE 19"
"fue 50","MUE 36"
"fue 51","MUE 31"
"fue 53","MUE 4"
"fue 54","MUE 25"
"fue 55","MUE 34"
"fue 58","MUE 1"
"fue 59","MUE 26"
"fue 60","MUE 30"
"fue 64","MUE 12"
"fue 66","MUE 18"
