"fue","MUE"
"fue 2","MUE 6"
"fue 4","MUE 5"
"fue 5","MUE 26"
"fue 9","MUE 31"
"fue 14","MUE 11"
"fue 16","MUE 23"
"fue 17","MUE 15"
"fue 18","MUE 10"
"fue 19","MUE 4"
"fue 22","MUE 30"
"fue 24","MUE 1"
"fue 25","MUE 28"
"fue 27","MUE 9"
"fue 28","MUE 27"
"fue 29","MUE 34"
"fue 30","MUE 17"
"fue 31","MUE 36"
"fue 32","MUE 3"
"fue 34","MUE 29"
"fue 39","MUE 7"
"fue 40","MUE 13"
"fue 42","MUE 24"
"fue 47","MUE 25"
"fue 50","MUE 35"
"fue 53","MUE 8"
"fue 54","MUE 14"
"fue 56","MUE 22"
"fue 57","MUE 12"
"fue 59","MUE 2"
"fue 61","MUE 33"
"fue 62","MUE 32"
"fue 63","MUE 20"
"fue 68","MUE 21"
"fue 69","MUE 18"
"fue 71","MUE 16"
"fue 77","MUE 19"
