"fue","MUE"
"fue 2","MUE 33"
"fue 6","MUE 17"
"fue 9","MUE 4"
"fue 10","MUE 9"
"fue 11","MUE 12"
"fue 13","MUE 26"
"fue 14","MUE 15"
"fue 15","MUE 29"
"fue 16","MUE 3"
"fue 17","MUE 13"
"fue 19","MUE 2"
"fue 20","MUE 35"
"fue 21","MUE 34"
"fue 22","MUE 23"
"fue 24","MUE 25"
"fue 25","MUE 36"
"fue 26","MUE 32"
"fue 31","MUE 20"
"fue 33","MUE 30"
"fue 34","MUE 7"
"fue 35","MUE 28"
"fue 40","MUE 18"
"fue 43","MUE 22"
"fue 46","MUE 11"
"fue 47","MUE 24"
"fue 51","MUE 19"
"fue 52","MUE 14"
"fue 53","MUE 6"
"fue 54","MUE 1"
"fue 56","MUE 10"
"fue 59","MUE 27"
"fue 60","MUE 8"
"fue 61","MUE 5"
"fue 62","MUE 16"
"fue 63","MUE 21"
"fue 66","MUE 31"
