"fue","MUE"
"fue 3","MUE 2"
"fue 5","MUE 10"
"fue 7","MUE 36"
"fue 11","MUE 7"
"fue 13","MUE 22"
"fue 14","MUE 33"
"fue 20","MUE 24"
"fue 21","MUE 12"
"fue 23","MUE 34"
"fue 25","MUE 17"
"fue 29","MUE 30"
"fue 32","MUE 16"
"fue 34","MUE 8"
"fue 35","MUE 21"
"fue 36","MUE 3"
"fue 38","MUE 9"
"fue 39","MUE 31"
"fue 43","MUE 18"
"fue 44","MUE 6"
"fue 47","MUE 23"
"fue 48","MUE 28"
"fue 49","MUE 11"
"fue 53","MUE 19"
"fue 55","MUE 27"
"fue 57","MUE 26"
"fue 62","MUE 13"
"fue 68","MUE 32"
"fue 72","MUE 20"
"fue 73","MUE 5"
"fue 75","MUE 29"
"fue 77","MUE 1"
"fue 81","MUE 25"
"fue 82","MUE 4"
"fue 87","MUE 35"
"fue 88","MUE 15"
"fue 89","MUE 14"
