"fue","MUE"
"fue 4","MUE 4"
"fue 6","MUE 17"
"fue 8","MUE 1"
"fue 9","MUE 16"
"fue 14","MUE 13"
"fue 16","MUE 30"
"fue 17","MUE 35"
"fue 18","MUE 15"
"fue 20","MUE 33"
"fue 21","MUE 25"
"fue 22","MUE 21"
"fue 23","MUE 20"
"fue 26","MUE 31"
"fue 29","MUE 7"
"fue 31","MUE 18"
"fue 32","MUE 26"
"fue 36","MUE 8"
"fue 40","MUE 12"
"fue 43","MUE 6"
"fue 44","MUE 29"
"fue 45","MUE 10"
"fue 46","MUE 32"
"fue 47","MUE 28"
"fue 49","MUE 36"
"fue 50","MUE 22"
"fue 51","MUE 19"
"fue 52","MUE 9"
"fue 54","MUE 2"
"fue 56","MUE 14"
"fue 57","MUE 3"
"fue 59","MUE 11"
"fue 61","MUE 27"
"fue 62","MUE 34"
"fue 64","MUE 23"
"fue 65","MUE 24"
"fue 66","MUE 5"
