"fue","MUE"
"fue 7","MUE 23"
"fue 10","MUE 1"
"fue 11","MUE 33"
"fue 12","MUE 18"
"fue 13","MUE 2"
"fue 15","MUE 6"
"fue 18","MUE 26"
"fue 19","MUE 9"
"fue 22","MUE 3"
"fue 23","MUE 35"
"fue 25","MUE 17"
"fue 27","MUE 5"
"fue 29","MUE 22"
"fue 30","MUE 10"
"fue 31","MUE 19"
"fue 32","MUE 15"
"fue 34","MUE 11"
"fue 35","MUE 12"
"fue 36","MUE 21"
"fue 37","MUE 30"
"fue 38","MUE 7"
"fue 39","MUE 25"
"fue 40","MUE 8"
"fue 42","MUE 31"
"fue 44","MUE 28"
"fue 45","MUE 24"
"fue 47","MUE 20"
"fue 49","MUE 34"
"fue 53","MUE 13"
"fue 55","MUE 36"
"fue 56","MUE 16"
"fue 59","MUE 27"
"fue 60","MUE 32"
"fue 68","MUE 4"
"fue 71","MUE 29"
"fue 72","MUE 14"
