"fue","MUE"
"fue 1","MUE 2"
"fue 2","MUE 34"
"fue 3","MUE 25"
"fue 6","MUE 10"
"fue 9","MUE 22"
"fue 10","MUE 1"
"fue 11","MUE 33"
"fue 12","MUE 20"
"fue 13","MUE 29"
"fue 14","MUE 9"
"fue 16","MUE 3"
"fue 19","MUE 6"
"fue 20","MUE 32"
"fue 21","MUE 5"
"fue 22","MUE 7"
"fue 25","MUE 23"
"fue 27","MUE 30"
"fue 35","MUE 8"
"fue 36","MUE 4"
"fue 37","MUE 11"
"fue 41","MUE 35"
"fue 43","MUE 15"
"fue 45","MUE 14"
"fue 48","MUE 28"
"fue 50","MUE 16"
"fue 51","MUE 13"
"fue 52","MUE 12"
"fue 53","MUE 17"
"fue 56","MUE 36"
"fue 58","MUE 21"
"fue 60","MUE 31"
"fue 61","MUE 19"
"fue 62","MUE 26"
"fue 63","MUE 18"
"fue 64","MUE 24"
"fue 65","MUE 27"
