"fue","MUE"
"fue 2","MUE 4"
"fue 3","MUE 13"
"fue 5","MUE 19"
"fue 6","MUE 30"
"fue 7","MUE 11"
"fue 10","MUE 5"
"fue 11","MUE 35"
"fue 12","MUE 25"
"fue 15","MUE 2"
"fue 17","MUE 31"
"fue 21","MUE 28"
"fue 23","MUE 15"
"fue 24","MUE 1"
"fue 26","MUE 10"
"fue 27","MUE 34"
"fue 29","MUE 17"
"fue 30","MUE 22"
"fue 31","MUE 36"
"fue 32","MUE 33"
"fue 34","MUE 14"
"fue 35","MUE 12"
"fue 36","MUE 21"
"fue 41","MUE 7"
"fue 46","MUE 9"
"fue 47","MUE 23"
"fue 49","MUE 6"
"fue 50","MUE 24"
"fue 51","MUE 32"
"fue 52","MUE 18"
"fue 54","MUE 26"
"fue 58","MUE 27"
"fue 59","MUE 20"
"fue 60","MUE 16"
"fue 62","MUE 8"
"fue 64","MUE 3"
"fue 65","MUE 29"
