"fue","MUE"
"fue 4","MUE 23"
"fue 6","MUE 32"
"fue 10","MUE 30"
"fue 11","MUE 1"
"fue 12","MUE 26"
"fue 13","MUE 33"
"fue 14","MUE 28"
"fue 16","MUE 6"
"fue 19","MUE 31"
"fue 21","MUE 19"
"fue 22","MUE 15"
"fue 23","MUE 21"
"fue 24","MUE 27"
"fue 25","MUE 14"
"fue 29","MUE 10"
"fue 30","MUE 12"
"fue 32","MUE 20"
"fue 34","MUE 3"
"fue 42","MUE 13"
"fue 44","MUE 25"
"fue 45","MUE 2"
"fue 46","MUE 34"
"fue 47","MUE 5"
"fue 48","MUE 7"
"fue 50","MUE 22"
"fue 52","MUE 35"
"fue 53","MUE 29"
"fue 54","MUE 9"
"fue 55","MUE 16"
"fue 57","MUE 8"
"fue 58","MUE 4"
"fue 59","MUE 36"
"fue 60","MUE 17"
"fue 61","MUE 18"
"fue 62","MUE 11"
"fue 64","MUE 24"
