"fue","MUE"
"fue 1","MUE 16"
"fue 5","MUE 14"
"fue 9","MUE 11"
"fue 12","MUE 35"
"fue 17","MUE 20"
"fue 18","MUE 13"
"fue 20","MUE 33"
"fue 22","MUE 9"
"fue 23","MUE 1"
"fue 24","MUE 29"
"fue 28","MUE 19"
"fue 37","MUE 4"
"fue 38","MUE 3"
"fue 40","MUE 31"
"fue 42","MUE 23"
"fue 43","MUE 6"
"fue 46","MUE 28"
"fue 48","MUE 26"
"fue 49","MUE 30"
"fue 51","MUE 10"
"fue 53","MUE 12"
"fue 56","MUE 17"
"fue 57","MUE 18"
"fue 58","MUE 15"
"fue 59","MUE 32"
"fue 62","MUE 27"
"fue 63","MUE 2"
"fue 64","MUE 7"
"fue 65","MUE 8"
"fue 66","MUE 22"
"fue 68","MUE 25"
"fue 71","MUE 36"
"fue 73","MUE 21"
"fue 75","MUE 24"
"fue 77","MUE 34"
"fue 78","MUE 5"
