"fue","MUE"
"fue 2","MUE 23"
"fue 8","MUE 14"
"fue 10","MUE 1"
"fue 14","MUE 18"
"fue 15","MUE 22"
"fue 23","MUE 17"
"fue 24","MUE 4"
"fue 26","MUE 9"
"fue 27","MUE 15"
"fue 28","MUE 2"
"fue 29","MUE 8"
"fue 30","MUE 35"
"fue 31","MUE 29"
"fue 32","MUE 31"
"fue 33","MUE 32"
"fue 35","MUE 34"
"fue 36","MUE 19"
"fue 38","MUE 3"
"fue 39","MUE 7"
"fue 42","MUE 33"
"fue 45","MUE 10"
"fue 46","MUE 20"
"fue 47","MUE 13"
"fue 48","MUE 26"
"fue 52","MUE 27"
"fue 53","MUE 6"
"fue 55","MUE 28"
"fue 57","MUE 11"
"fue 58","MUE 16"
"fue 59","MUE 24"
"fue 60","MUE 12"
"fue 63","MUE 5"
"fue 70","MUE 25"
"fue 74","MUE 30"
"fue 75","MUE 21"
"fue 76","MUE 36"
