"fue","MUE"
"fue 1","MUE 12"
"fue 2","MUE 9"
"fue 3","MUE 3"
"fue 4","MUE 17"
"fue 5","MUE 5"
"fue 6","MUE 19"
"fue 8","MUE 6"
"fue 9","MUE 32"
"fue 12","MUE 11"
"fue 16","MUE 23"
"fue 17","MUE 24"
"fue 18","MUE 2"
"fue 20","MUE 15"
"fue 21","MUE 7"
"fue 22","MUE 20"
"fue 24","MUE 18"
"fue 25","MUE 13"
"fue 26","MUE 34"
"fue 27","MUE 22"
"fue 28","MUE 1"
"fue 31","MUE 36"
"fue 33","MUE 26"
"fue 34","MUE 4"
"fue 35","MUE 29"
"fue 36","MUE 14"
"fue 37","MUE 21"
"fue 39","MUE 8"
"fue 40","MUE 25"
"fue 41","MUE 30"
"fue 42","MUE 35"
"fue 43","MUE 16"
"fue 44","MUE 28"
"fue 45","MUE 10"
"fue 46","MUE 33"
"fue 47","MUE 31"
"fue 48","MUE 27"
