"fue","MUE"
"fue 3","MUE 4"
"fue 4","MUE 1"
"fue 6","MUE 2"
"fue 7","MUE 13"
"fue 12","MUE 8"
"fue 14","MUE 10"
"fue 17","MUE 33"
"fue 19","MUE 5"
"fue 20","MUE 28"
"fue 21","MUE 16"
"fue 22","MUE 12"
"fue 26","MUE 34"
"fue 28","MUE 17"
"fue 29","MUE 26"
"fue 30","MUE 36"
"fue 34","MUE 24"
"fue 37","MUE 29"
"fue 38","MUE 6"
"fue 39","MUE 35"
"fue 40","MUE 23"
"fue 42","MUE 27"
"fue 43","MUE 31"
"fue 44","MUE 15"
"fue 45","MUE 20"
"fue 47","MUE 32"
"fue 49","MUE 9"
"fue 50","MUE 14"
"fue 55","MUE 3"
"fue 58","MUE 30"
"fue 59","MUE 22"
"fue 61","MUE 25"
"fue 62","MUE 19"
"fue 67","MUE 11"
"fue 68","MUE 7"
"fue 69","MUE 21"
"fue 71","MUE 18"
