"fue","MUE"
"fue 1","MUE 7"
"fue 5","MUE 10"
"fue 6","MUE 13"
"fue 9","MUE 9"
"fue 10","MUE 4"
"fue 11","MUE 29"
"fue 13","MUE 1"
"fue 14","MUE 8"
"fue 16","MUE 24"
"fue 17","MUE 3"
"fue 18","MUE 6"
"fue 19","MUE 26"
"fue 20","MUE 30"
"fue 21","MUE 31"
"fue 23","MUE 11"
"fue 25","MUE 21"
"fue 29","MUE 15"
"fue 30","MUE 27"
"fue 31","MUE 2"
"fue 32","MUE 18"
"fue 33","MUE 17"
"fue 36","MUE 12"
"fue 37","MUE 35"
"fue 38","MUE 25"
"fue 39","MUE 34"
"fue 40","MUE 36"
"fue 42","MUE 28"
"fue 45","MUE 20"
"fue 46","MUE 16"
"fue 47","MUE 19"
"fue 49","MUE 5"
"fue 50","MUE 14"
"fue 51","MUE 22"
"fue 52","MUE 23"
"fue 53","MUE 32"
"fue 54","MUE 33"
