"fue","MUE"
"fue 1","MUE 6"
"fue 3","MUE 3"
"fue 5","MUE 1"
"fue 10","MUE 22"
"fue 12","MUE 31"
"fue 13","MUE 32"
"fue 14","MUE 34"
"fue 15","MUE 9"
"fue 16","MUE 19"
"fue 17","MUE 24"
"fue 20","MUE 7"
"fue 23","MUE 26"
"fue 26","MUE 23"
"fue 27","MUE 16"
"fue 28","MUE 27"
"fue 29","MUE 33"
"fue 31","MUE 36"
"fue 32","MUE 8"
"fue 33","MUE 29"
"fue 34","MUE 25"
"fue 37","MUE 35"
"fue 39","MUE 12"
"fue 42","MUE 4"
"fue 43","MUE 11"
"fue 44","MUE 5"
"fue 47","MUE 14"
"fue 51","MUE 28"
"fue 52","MUE 2"
"fue 54","MUE 18"
"fue 56","MUE 10"
"fue 59","MUE 21"
"fue 61","MUE 17"
"fue 62","MUE 13"
"fue 68","MUE 20"
"fue 69","MUE 30"
"fue 72","MUE 15"
