"fue","MUE"
"fue 6","MUE 35"
"fue 9","MUE 2"
"fue 11","MUE 4"
"fue 12","MUE 9"
"fue 13","MUE 12"
"fue 16","MUE 36"
"fue 22","MUE 26"
"fue 24","MUE 28"
"fue 28","MUE 19"
"fue 29","MUE 10"
"fue 30","MUE 31"
"fue 31","MUE 18"
"fue 39","MUE 15"
"fue 40","MUE 16"
"fue 41","MUE 6"
"fue 47","MUE 23"
"fue 49","MUE 29"
"fue 51","MUE 5"
"fue 52","MUE 8"
"fue 55","MUE 13"
"fue 56","MUE 27"
"fue 57","MUE 3"
"fue 59","MUE 17"
"fue 60","MUE 21"
"fue 62","MUE 24"
"fue 63","MUE 32"
"fue 64","MUE 11"
"fue 71","MUE 1"
"fue 74","MUE 34"
"fue 77","MUE 14"
"fue 78","MUE 20"
"fue 80","MUE 22"
"fue 81","MUE 25"
"fue 82","MUE 30"
"fue 83","MUE 33"
"fue 88","MUE 7"
