"fue","MUE"
"fue 1","MUE 21"
"fue 2","MUE 33"
"fue 4","MUE 11"
"fue 6","MUE 19"
"fue 7","MUE 13"
"fue 9","MUE 6"
"fue 10","MUE 26"
"fue 11","MUE 3"
"fue 12","MUE 22"
"fue 13","MUE 5"
"fue 14","MUE 23"
"fue 16","MUE 28"
"fue 17","MUE 20"
"fue 18","MUE 17"
"fue 19","MUE 12"
"fue 20","MUE 34"
"fue 21","MUE 24"
"fue 26","MUE 31"
"fue 28","MUE 25"
"fue 30","MUE 15"
"fue 32","MUE 27"
"fue 33","MUE 18"
"fue 36","MUE 2"
"fue 37","MUE 16"
"fue 42","MUE 32"
"fue 43","MUE 1"
"fue 44","MUE 30"
"fue 46","MUE 35"
"fue 49","MUE 14"
"fue 50","MUE 7"
"fue 52","MUE 10"
"fue 53","MUE 8"
"fue 56","MUE 29"
"fue 58","MUE 4"
"fue 59","MUE 9"
"fue 60","MUE 36"
