"fue","MUE"
"fue 1","MUE 2"
"fue 2","MUE 23"
"fue 3","MUE 5"
"fue 4","MUE 34"
"fue 5","MUE 17"
"fue 6","MUE 14"
"fue 7","MUE 6"
"fue 9","MUE 11"
"fue 10","MUE 4"
"fue 11","MUE 12"
"fue 13","MUE 35"
"fue 15","MUE 19"
"fue 16","MUE 25"
"fue 17","MUE 21"
"fue 19","MUE 29"
"fue 20","MUE 30"
"fue 21","MUE 15"
"fue 23","MUE 7"
"fue 24","MUE 9"
"fue 26","MUE 28"
"fue 27","MUE 32"
"fue 28","MUE 26"
"fue 29","MUE 16"
"fue 30","MUE 27"
"fue 31","MUE 20"
"fue 33","MUE 36"
"fue 35","MUE 33"
"fue 37","MUE 8"
"fue 38","MUE 3"
"fue 41","MUE 13"
"fue 42","MUE 18"
"fue 44","MUE 22"
"fue 45","MUE 31"
"fue 46","MUE 1"
"fue 47","MUE 10"
"fue 48","MUE 24"
