"fue","MUE"
"fue 2","MUE 24"
"fue 3","MUE 7"
"fue 4","MUE 20"
"fue 5","MUE 29"
"fue 6","MUE 6"
"fue 7","MUE 4"
"fue 9","MUE 2"
"fue 13","MUE 3"
"fue 14","MUE 12"
"fue 22","MUE 19"
"fue 25","MUE 27"
"fue 34","MUE 18"
"fue 38","MUE 21"
"fue 41","MUE 9"
"fue 43","MUE 14"
"fue 45","MUE 28"
"fue 47","MUE 15"
"fue 48","MUE 17"
"fue 49","MUE 10"
"fue 53","MUE 5"
"fue 55","MUE 25"
"fue 57","MUE 34"
"fue 58","MUE 13"
"fue 59","MUE 30"
"fue 61","MUE 33"
"fue 63","MUE 31"
"fue 64","MUE 36"
"fue 65","MUE 22"
"fue 70","MUE 11"
"fue 74","MUE 26"
"fue 75","MUE 16"
"fue 77","MUE 23"
"fue 81","MUE 35"
"fue 82","MUE 32"
"fue 83","MUE 1"
"fue 84","MUE 8"
