"fue","MUE"
"fue 2","MUE 11"
"fue 6","MUE 28"
"fue 7","MUE 5"
"fue 10","MUE 30"
"fue 12","MUE 36"
"fue 17","MUE 20"
"fue 18","MUE 19"
"fue 19","MUE 2"
"fue 27","MUE 8"
"fue 28","MUE 31"
"fue 29","MUE 34"
"fue 34","MUE 29"
"fue 36","MUE 27"
"fue 37","MUE 6"
"fue 41","MUE 16"
"fue 42","MUE 4"
"fue 44","MUE 1"
"fue 45","MUE 23"
"fue 48","MUE 12"
"fue 51","MUE 33"
"fue 55","MUE 13"
"fue 57","MUE 35"
"fue 59","MUE 21"
"fue 61","MUE 17"
"fue 63","MUE 15"
"fue 64","MUE 3"
"fue 65","MUE 26"
"fue 67","MUE 9"
"fue 68","MUE 14"
"fue 70","MUE 24"
"fue 71","MUE 18"
"fue 72","MUE 7"
"fue 73","MUE 10"
"fue 74","MUE 32"
"fue 77","MUE 22"
"fue 78","MUE 25"
