"fue","MUE"
"fue 2","MUE 18"
"fue 3","MUE 5"
"fue 7","MUE 34"
"fue 9","MUE 12"
"fue 10","MUE 36"
"fue 11","MUE 21"
"fue 12","MUE 15"
"fue 15","MUE 31"
"fue 17","MUE 16"
"fue 19","MUE 8"
"fue 21","MUE 29"
"fue 23","MUE 20"
"fue 26","MUE 28"
"fue 27","MUE 6"
"fue 29","MUE 11"
"fue 30","MUE 14"
"fue 31","MUE 4"
"fue 35","MUE 35"
"fue 37","MUE 33"
"fue 38","MUE 32"
"fue 40","MUE 30"
"fue 41","MUE 13"
"fue 42","MUE 2"
"fue 49","MUE 25"
"fue 51","MUE 27"
"fue 52","MUE 3"
"fue 54","MUE 23"
"fue 56","MUE 24"
"fue 57","MUE 7"
"fue 58","MUE 1"
"fue 60","MUE 17"
"fue 68","MUE 22"
"fue 69","MUE 19"
"fue 70","MUE 26"
"fue 72","MUE 10"
"fue 75","MUE 9"
