"fue","MUE"
"fue 9","MUE 16"
"fue 10","MUE 19"
"fue 12","MUE 17"
"fue 13","MUE 35"
"fue 14","MUE 25"
"fue 18","MUE 10"
"fue 19","MUE 13"
"fue 20","MUE 32"
"fue 21","MUE 4"
"fue 22","MUE 24"
"fue 23","MUE 36"
"fue 25","MUE 29"
"fue 27","MUE 26"
"fue 28","MUE 20"
"fue 30","MUE 23"
"fue 31","MUE 7"
"fue 32","MUE 31"
"fue 33","MUE 8"
"fue 35","MUE 15"
"fue 38","MUE 27"
"fue 39","MUE 12"
"fue 40","MUE 6"
"fue 42","MUE 1"
"fue 44","MUE 5"
"fue 48","MUE 28"
"fue 51","MUE 22"
"fue 57","MUE 14"
"fue 58","MUE 18"
"fue 60","MUE 30"
"fue 61","MUE 34"
"fue 62","MUE 9"
"fue 65","MUE 11"
"fue 68","MUE 2"
"fue 70","MUE 21"
"fue 74","MUE 3"
"fue 84","MUE 33"
