FUE_ID,Bid
FUE_1,0.13121767873887935
FUE_2,0.6357374080896305
FUE_3,0.204095731523802
FUE_4,0.2632417840692328
FUE_5,0.4275108780258049
FUE_6,0.8403207379939339
FUE_7,0.2185690078779401
FUE_8,0.37107485562592724
FUE_9,0.5568620591592456
FUE_10,0.6016011969794259
FUE_11,0.6640747665601163
FUE_12,0.2019044640765736
FUE_13,0.82659733577233
FUE_14,0.8119409838970427
FUE_15,0.3009209058251122
FUE_16,0.8032236482737356
FUE_17,0.17799119785188267
FUE_18,0.44089761324644583
FUE_19,0.37529397686609256
FUE_20,0.800033191367913
FUE_21,0.7125969520302797
FUE_22,0.3359294849611424
FUE_23,0.0327252363379803
FUE_24,0.7625754594320776
FUE_25,0.6637448516013419
FUE_26,0.08801578982946989
FUE_27,0.20079880261164318
FUE_28,0.7175477893175112
FUE_29,0.6252550826288692
FUE_30,0.3988558195831564
FUE_31,0.9897530105699438
FUE_32,0.36416462297336005
FUE_33,0.10841467858145803
FUE_34,0.8443550886529435
FUE_35,0.7977062422120662
FUE_36,0.46618091030722064
FUE_37,0.3569780514478268
FUE_38,0.5177938464779916
FUE_39,0.19398960475142768
FUE_40,0.4210501421908589
FUE_41,0.3906271789139175
FUE_42,0.93207999570513
FUE_43,0.07636564621478337
FUE_44,0.8092759419121952
FUE_45,0.6545358877802097
FUE_46,0.8698095788461112
FUE_47,0.8707048250506157
FUE_48,0.39449220146648656
FUE_49,0.3455898463321576
FUE_50,0.6583166601182605
FUE_51,0.6736331253178407
FUE_52,0.36461855550939004
FUE_53,0.3492088838358639
FUE_54,0.16527941754935604
FUE_55,0.11604077720103567
FUE_56,0.08014786565242094
FUE_57,0.061613793177967
FUE_58,0.6921645056736925
FUE_59,0.029530268041125463
FUE_60,0.8364169705324009
FUE_61,0.9752892797182581
FUE_62,0.9885997376459275
FUE_63,0.9538840330833678
FUE_64,0.36437462452235214
FUE_65,0.9360908634846957
FUE_66,0.7531971034062472
FUE_67,0.3686642326846259
FUE_68,0.35051952112811835
FUE_69,0.04484582603032472
FUE_70,0.1014746233699636
FUE_71,0.40469546715744453
FUE_72,0.9164868772977427
