,FBS,Bid
FUE 1,1,0.40695
FUE 2,1,0.2486
FUE 3,1,0.95212
FUE 4,1,0.50758
FUE 5,1,0.066212
FUE 6,1,0.67477
FUE 7,1,0.98632
FUE 8,1,0.37362
FUE 9,1,0.72094
FUE 10,1,0.20575
FUE 11,1,0.53329
FUE 12,1,0.86239
FUE 13,2,0.050165
FUE 14,2,0.44659
FUE 15,2,0.10067
FUE 16,2,0.12238
FUE 17,2,0.37445
FUE 18,2,0.92876
FUE 19,2,0.66053
FUE 20,2,0.38908
FUE 21,2,0.85148
FUE 22,2,0.83644
FUE 23,2,0.23276
FUE 24,2,0.35597
FUE 25,3,0.79607
FUE 26,3,0.21395
FUE 27,3,0.79417
FUE 28,3,0.3242
FUE 29,3,0.97576
FUE 30,3,0.70453
FUE 31,3,0.39006
FUE 32,3,0.44665
FUE 33,3,0.55499
FUE 34,3,0.24478
FUE 35,3,0.31267
FUE 36,3,0.62545
FUE 37,4,0.73491
FUE 38,4,0.97747
FUE 39,4,0.78029
FUE 40,4,0.31014
FUE 41,4,0.10361
FUE 42,4,0.66969
FUE 43,4,0.22129
FUE 44,4,0.47826
FUE 45,4,0.34418
FUE 46,4,0.85602
FUE 47,4,0.32587
FUE 48,4,0.79394
FUE 49,5,0.59492
FUE 50,5,0.98499
FUE 51,5,0.69187
FUE 52,5,0.42387
FUE 53,5,0.24894
FUE 54,5,0.22167
FUE 55,5,0.87772
FUE 56,5,0.83889
FUE 57,5,0.040617
FUE 58,5,0.7325
FUE 59,5,0.16934
FUE 60,5,0.58294
FUE 61,6,0.59899
FUE 62,6,0.97734
FUE 63,6,0.69512
FUE 64,6,0.22158
FUE 65,6,0.054769
FUE 66,6,0.64363
FUE 67,6,0.80997
FUE 68,6,0.26918
FUE 69,6,0.73197
FUE 70,6,0.95341
FUE 71,6,0.5838
FUE 72,6,0.24266
