,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,71.6221,71.6204,71.617,71.6033,71.6033,71.5841,71.5474,71.4564,71.5286,71.4868,71.1821,70.4927,71.0899,71.0106,67.8985,67.009,69.9843,70.6902,70.5506,64.7113,62.222,69.6201,68.2131,68.012,69.7082,69.8449,69.3937,64.3405,66.902,67.9723,64.3158,69.3857,68.5681,64.6502,52.6696,68.3532
FUE 2,69.8661,69.8642,69.8606,69.8457,69.8457,69.8249,69.7851,69.6865,69.7647,69.7194,69.3903,68.6522,69.2912,69.206,65.9331,65.0158,68.1129,68.8629,68.7139,62.6683,60.1482,67.7287,66.2591,66.0507,67.8215,67.9656,67.4906,62.2918,64.9059,66.0095,62.2667,67.4823,66.628,62.6063,50.5606,66.4045
FUE 3,63.9216,63.92,63.9169,63.9039,63.9039,63.8857,63.851,63.7647,63.8331,63.7935,63.5042,62.846,63.4165,63.341,60.3346,59.464,62.3579,63.0351,62.9015,57.2008,54.7333,62.0068,60.6415,60.4454,62.0918,62.2236,61.7879,56.8342,59.3591,60.4066,56.8097,61.7802,60.9872,57.1405,45.206,60.778
FUE 4,57.622,57.6197,57.615,57.5962,57.5962,57.5699,57.5197,57.3959,57.494,57.4371,57.0279,56.1351,56.9061,56.8019,53.05,52.0566,55.501,56.3868,56.2086,49.5772,46.978,55.0571,53.4076,53.1787,55.1638,55.3301,54.7851,49.1856,51.9387,53.1336,49.1595,54.7756,53.8154,49.5125,37.3025,53.5679
FUE 5,104.2472,104.2454,104.2417,104.2267,104.2267,104.2058,104.1658,104.0668,104.1453,104.0999,103.7694,103.0286,103.6699,103.5844,100.3027,99.3839,102.4875,103.24,103.0905,97.0337,94.512,102.1022,100.6293,100.4204,102.1953,102.3398,101.8636,96.6569,99.2738,100.3792,96.6318,101.8552,100.9989,96.9716,84.9225,100.7749
FUE 6,57.0362,57.0346,57.0315,57.0189,57.019,57.0013,56.9676,56.8839,56.9503,56.9119,56.6307,55.9892,56.5453,56.4718,53.5229,52.6629,55.5119,56.1738,56.0434,50.419,47.9638,55.1679,53.8256,53.6322,55.2513,55.3805,54.9533,50.0547,52.5591,53.594,50.0303,54.9457,54.1662,50.3591,38.4508,53.9601
FUE 7,59.3354,59.3339,59.3308,59.3182,59.3182,59.3007,59.267,59.1835,59.2497,59.2114,58.9309,58.2909,58.8458,58.7724,55.8285,54.9694,57.8146,58.475,58.345,52.7272,50.2731,57.4712,56.1308,55.9377,57.5544,57.6833,57.2569,52.3631,54.8657,55.8995,52.3387,57.2493,56.4709,52.6673,40.7614,56.2651
FUE 8,55.0455,55.0441,55.0413,55.0297,55.0298,55.0136,54.9827,54.9058,54.9668,54.9315,54.6725,54.0771,54.5937,54.5257,51.7385,50.9091,53.6301,54.249,54.1276,48.7221,46.3036,53.3062,52.029,51.8435,53.3848,53.5065,53.1032,48.3646,50.8086,51.8068,48.3407,53.0961,52.3548,48.6633,36.8339,52.1578
FUE 9,77.2711,77.2683,77.2644,77.244,77.2436,77.2271,77.2097,77.1313,77.0997,77.0689,77.0014,76.6936,76.8296,76.7149,73.2029,72.7725,71.9607,76.2202,75.3949,65.857,67.7386,71.2635,65.3286,64.5761,75.3512,74.8703,75.1212,74.2943,74.763,65.1853,74.0679,73.6646,74.7306,73.9097,70.7464,71.2552
FUE 10,63.7392,63.7363,63.7323,63.7116,63.7111,63.6943,63.6766,63.5967,63.5646,63.5332,63.4645,63.1515,63.2898,63.1732,59.622,59.1886,58.3719,62.6709,61.8346,52.2505,54.1353,57.6713,51.7215,50.9681,61.7904,61.3041,61.5577,60.7224,61.1957,51.5781,60.4939,60.0872,61.1629,60.3344,57.1519,57.6629
FUE 11,54.5428,54.5409,54.5382,54.5245,54.5241,54.513,54.5012,54.4478,54.4262,54.4051,54.3587,54.1444,54.2396,54.1594,51.4293,51.0643,50.3617,53.8059,53.1915,44.6844,46.4878,49.7451,44.1728,43.4409,53.1581,52.786,52.9813,52.3284,52.7017,44.0337,52.1452,51.8145,52.6761,52.0161,49.2807,49.7377
FUE 12,87.599,87.5963,87.5925,87.5727,87.5722,87.5562,87.5393,87.4628,87.4321,87.402,87.3362,87.0358,87.1686,87.0566,83.6012,83.1751,82.3703,86.5729,85.7633,76.2927,78.1698,81.6782,75.7653,75.014,85.7203,85.2472,85.4942,84.6796,85.1416,75.6223,84.4561,84.0578,85.1097,84.2999,81.1645,81.67
FUE 13,67.2162,67.2136,67.2098,67.1906,67.1902,67.1746,67.1582,67.084,67.0541,67.0249,66.961,66.6687,66.7979,66.6889,63.2965,62.8753,62.0786,66.2173,65.4251,56.0307,57.9025,61.3923,55.5045,54.7545,65.3829,64.9186,65.1611,64.3602,64.8147,55.3617,64.1401,63.7473,64.7834,63.9862,60.8823,61.3841
FUE 14,76.2012,76.1986,76.1948,76.1755,76.1751,76.1594,76.143,76.0685,76.0385,76.0092,75.945,75.6517,75.7814,75.672,72.2715,71.8497,71.0519,75.1988,74.4044,65.0003,66.8727,70.3649,64.4739,63.7237,74.3621,73.8967,74.1397,73.3371,73.7926,64.3311,73.1166,72.7231,73.7612,72.9624,69.8544,70.3568
FUE 15,78.5014,78.4986,78.4946,78.4742,78.4737,78.4572,78.4398,78.361,78.3293,78.2983,78.2306,77.9216,78.0581,77.943,74.4224,73.9914,73.1784,77.4467,76.619,67.0708,68.9532,72.4805,66.5423,65.7896,76.5751,76.093,76.3446,75.5158,75.9855,66.399,75.2889,74.8849,75.953,75.1305,71.9629,72.4722
FUE 16,69.744,69.7416,69.7382,69.7209,69.7205,69.7065,69.6917,69.6247,69.5977,69.5712,69.5133,69.2477,69.3654,69.2662,66.0878,65.6838,64.9155,68.8343,68.1007,58.9754,60.8277,64.25,58.4532,57.7083,68.0614,67.6268,67.8541,67.1004,67.5292,58.3115,66.8919,66.5184,67.4997,66.7457,63.7534,64.242
FUE 17,59.6956,59.6937,59.6863,59.6713,59.656,59.6625,59.6502,59.603,59.5022,59.3193,59.5076,59.3265,59.1098,58.866,58.1638,58.0491,54.0021,57.6527,54.3172,55.8764,56.5587,45.3054,50.1975,50.0776,56.3125,54.0981,56.0709,57.5286,57.3199,41.9234,57.2155,50.1436,56.0426,56.8751,56.0051,43.102
FUE 18,57.5678,57.5664,57.5609,57.5497,57.5384,57.5432,57.534,57.4988,57.4232,57.285,57.4272,57.2905,57.1249,56.9363,56.3803,56.2878,52.7751,55.9643,53.0625,54.4545,55.0452,44.4102,49.1915,49.0761,54.8335,52.8628,54.6241,55.862,55.6887,41.0575,55.6015,49.1397,54.5995,55.3148,54.5669,42.2283
