,FBS,Bid
FUE 1,1,0.60148
FUE 2,1,0.46497
FUE 3,1,0.81542
FUE 4,1,0.32212
FUE 5,1,0.37639
FUE 6,1,0.13802
FUE 7,1,0.65359
FUE 8,1,0.025492
FUE 9,2,0.23369
FUE 10,2,0.97878
FUE 11,2,0.94302
FUE 12,2,0.98106
FUE 13,2,0.066964
FUE 14,2,0.19526
FUE 15,2,0.42341
FUE 16,2,0.53708
FUE 17,3,0.46328
FUE 18,3,0.62591
FUE 19,3,0.50256
FUE 20,3,0.79178
FUE 21,3,0.71035
FUE 22,3,0.5694
FUE 23,3,0.1571
FUE 24,3,0.6256
FUE 25,4,0.92583
FUE 26,4,0.9832
FUE 27,4,0.72317
FUE 28,4,0.18756
FUE 29,4,0.86013
FUE 30,4,0.12906
FUE 31,4,0.74347
FUE 32,4,0.047878
FUE 33,5,0.6497
FUE 34,5,0.059537
FUE 35,5,0.91976
FUE 36,5,0.17172
FUE 37,5,0.088046
FUE 38,5,0.30454
FUE 39,5,0.6716
FUE 40,5,0.20444
FUE 41,6,0.97481
FUE 42,6,0.03956
FUE 43,6,0.49179
FUE 44,6,0.64093
FUE 45,6,0.40502
FUE 46,6,0.057082
FUE 47,6,0.63034
FUE 48,6,0.21458
