,FBS,Bid
FUE 1,1,0.48932
FUE 2,1,0.79238
FUE 3,1,0.69103
FUE 4,1,0.18504
FUE 5,1,0.76337
FUE 6,1,0.67501
FUE 7,1,0.6602
FUE 8,1,0.73231
FUE 9,1,0.53927
FUE 10,1,0.27435
FUE 11,1,0.12361
FUE 12,1,0.14469
FUE 13,1,0.074562
FUE 14,2,0.8449
FUE 15,2,0.28722
FUE 16,2,0.82869
FUE 17,2,0.48137
FUE 18,2,0.047725
FUE 19,2,0.75123
FUE 20,2,0.59748
FUE 21,2,0.68669
FUE 22,2,0.46404
FUE 23,2,0.55441
FUE 24,2,0.65407
FUE 25,2,0.19826
FUE 26,2,0.701
FUE 27,3,0.85232
FUE 28,3,0.97684
FUE 29,3,0.53612
FUE 30,3,0.28088
FUE 31,3,0.70376
FUE 32,3,0.23743
FUE 33,3,0.82634
FUE 34,3,0.29436
FUE 35,3,0.40636
FUE 36,3,0.19597
FUE 37,3,0.044705
FUE 38,3,0.088336
FUE 39,3,0.12992
FUE 40,4,0.88667
FUE 41,4,0.896
FUE 42,4,0.34023
FUE 43,4,0.27059
FUE 44,4,0.85489
FUE 45,4,0.57
FUE 46,4,0.10354
FUE 47,4,0.68619
FUE 48,4,0.30673
FUE 49,4,0.95734
FUE 50,4,0.97613
FUE 51,4,0.45914
FUE 52,4,0.50829
FUE 53,5,0.52336
FUE 54,5,0.65894
FUE 55,5,0.15777
FUE 56,5,0.36984
FUE 57,5,0.80168
FUE 58,5,0.56419
FUE 59,5,0.63329
FUE 60,5,0.6887
FUE 61,5,0.026424
FUE 62,5,0.97137
FUE 63,5,0.90027
FUE 64,5,0.56203
FUE 65,5,0.33908
FUE 66,6,0.39793
FUE 67,6,0.41978
FUE 68,6,0.53916
FUE 69,6,0.90817
FUE 70,6,0.48166
FUE 71,6,0.61104
FUE 72,6,0.7517
FUE 73,6,0.69661
FUE 74,6,0.71908
FUE 75,6,0.29609
FUE 76,6,0.11891
FUE 77,6,0.23418
FUE 78,6,0.93492
